札の辻	16.055555555555557
山崎	11.64516129032258
新道	9.307692307692308
9区	6.575075987841945
交差点	6.068592057761733
不動坂	5.5
付近	5.230912476722533
会見	4.653846153846154
5時間	4.465116279069767
アイビー	4.454545454545454
ホール	4.0
10区	3.949671772428884
入口	3.78125
青学	3.0688853935797527
切手	3.0
国分寺	3.0
オタランナー	3.0
序盤	2.933333333333333
泉岳寺	2.4
箱根	2.1384090909090907
ハヤシライス	2.0
錦城	2.0
巣鴨	2.0
綾部	2.0
江ノ電	2.0
雪国	2.0
お歳暮	2.0
末代	2.0
たまごっち	2.0
楽太郎	2.0
競技かるた	2.0
ドレスコード	2.0
酒場	2.0
狭山公園	2.0
イスラエル	2.0
申込	2.0
優勝	1.930614234644134
駅伝	1.8097060358323187
焼肉	1.8
晩酌	1.7857142857142858
徳間書店	1.6666666666666667
総合	1.5779269202087993
川崎大師	1.5
周辺	1.4222222222222223
餃子	1.3333333333333333
小和田	1.3333333333333333
福祉	1.3333333333333333
東海大望星	1.3333333333333333
中越	1.3333333333333333
リクエスト	1.3333333333333333
総合優勝	1.2903077629765733
31分	1.2857142857142858
応援	1.2817101295015079
6区	1.1412084181941615
魔法	1.1363636363636365
主体	1.125
34分	1.125
難病	1.125
abcマート	1.125
大迫傑	1.0888888888888888
優勝報告会	1.0869565217391304
祝福	1.0666666666666667
写真	1.0643863179074446
報告会	1.0638297872340425
総力	1.0
k-5	1.0
11区	1.0
23年	1.0
a13	1.0
グァテマラ	1.0
ヨロン島	1.0
和貴	1.0
jr東海道線	1.0
ビタワン	1.0
斜面	1.0
犬小屋	1.0
タダーレン	1.0
写真ギャラリー	1.0
発作	1.0
サリー	1.0
幾度	1.0
鵠沼海岸	1.0
江島神社	1.0
人気ぶり	1.0
bリーグ	1.0
101年	1.0
百瀬	1.0
もう進	1.0
蜂須賀	1.0
大愛	1.0
一本松	1.0
西大家	1.0
東武越生線	1.0
記憶力	1.0
自意識過剰	1.0
かでん	1.0
長井秀和	1.0
一夜	1.0
79k	1.0
卓弥	1.0
